21:24:58: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 51] Logger initialized
21:24:58: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (0.0, 0.0, 4.0)
21:24:58: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (0.0, 0.0, 1.0)
21:24:59: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (0.0, 0.0, 0.6666666666666666)
21:24:59: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (0.0, 0.0, 0.5)
21:25:00: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (0.0, 0.0, 0.4)
21:25:00: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (0.0, 0.0, 0.3333333333333333)
21:25:01: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (0.0, 0.0, 0.2857142857142857)
21:25:01: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (0.0, 2.5, 0.25)
21:25:02: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (0.0, 4.444444444444445, 0.2222222222222222)
21:25:02: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (0.0, 6.0, 0.2)
21:25:03: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (1.8181818181818181, 5.454545454545454, 0.18181818181818182)
21:25:03: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (3.3333333333333335, 5.0, 0.16666666666666666)
21:25:04: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (4.615384615384615, 4.615384615384615, 0.15384615384615385)
21:25:04: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (4.285714285714286, 2.857142857142857, 0.14285714285714285)
21:25:05: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (4.0, 1.3333333333333333, 0.13333333333333333)
21:25:05: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (3.75, 0.0, 0.125)
21:25:06: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (2.3529411764705883, 0.0, 0.11764705882352941)
21:25:06: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (1.1111111111111112, 0.0, 0.1111111111111111)
21:25:07: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (0.0, 0.0, 0.10526315789473684)
21:25:07: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (0.0, 1.0, 0.1)
21:25:08: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (0.0, 1.9047619047619047, 0.09523809523809523)
21:25:08: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (0.0, 2.727272727272727, 0.09090909090909091)
21:25:09: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (0.8695652173913043, 2.608695652173913, 0.08695652173913043)
21:25:09: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 87] Average velocity: (1.6666666666666667, 2.5, 0.08333333333333333)
