21:24:58: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
21:24:58: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | main | 135] Connected!
21:24:58: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE ALTITUDE: 1
21:24:58: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE ALTITUDE: -1
21:25:01: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 63.43494882292201
21:25:02: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 90.0
21:25:02: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 116.56505117707799
21:25:03: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 45.0
21:25:03: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 63.43494882292201
21:25:04: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 90.0
21:25:04: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 26.565051177077994
21:25:05: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 45.0
21:25:05: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 90.0
21:25:06: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 45.0
21:25:06: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 90.0
21:25:07: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 135.0
21:25:07: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -26.565051177077994
21:25:08: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -45.0
21:25:08: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -90.0
21:25:09: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -45.0
21:25:09: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -90.0
21:25:10: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -135.0
21:25:10: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -63.43494882292201
21:25:11: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -90.0
21:25:11: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -116.56505117707799
21:25:12: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -45.0
21:25:12: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -63.43494882292201
21:25:13: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -90.0
